p_pdb_id,q_pdb_id,monge_rate,monge_rate_1
1njg,1njf,0.613481,0.794502
1cts,4cts,0.539447,0.767211
1a2v,1avk,0.523664,0.637833
1efw,1g51,0.558228,0.803969
2eia,1eia,0.646507,0.905205
5er2,4ape,0.604252,0.886352
2eza,3eza,0.650181,0.882564
1gln,1g59,0.619548,0.84445
2gd1,1gd1,0.618862,0.868215
1be1,1b1a,0.538536,0.637115
1n8z,1n8y,0.531429,0.74894
1i6i,1i5s,0.513911,0.749681
1lci,1ba3,0.593342,0.883645
1h9k,1h9m,0.650355,0.894163
1jys,1nc3,0.581475,0.779081
1dv7,1dvj,0.585557,0.761383
1jqj,2pol,0.618325,0.927091
1pvu,1pvi,0.660895,0.859427
1uj1,1uk2,0.58854,0.862454
1ng1,1ffh,0.620783,0.863802
1wrp,3wrp,0.657269,0.813963
1evk,1evl,0.553167,0.638997
1amn,1ea5,0.53237,0.69659
1ank,1ake,0.529332,0.568884
1m8p,1i2d,0.635917,0.873022
1bnc,1dv2,0.495456,0.642155
1b47,2cbl,0.666319,0.953039
1hng,1hnf,0.540059,0.436454
1cll,1ctr,0.716492,0.951949
1crx,4crx,0.583986,0.843921
1l5e,1l5b,0.71604,0.952433
1dap,3dap,0.596767,0.745537
1gu0,1gu1,0.494286,0.737091
1jej,1jg6,0.637509,0.898427
1dkx,1dky,0.59517,0.843181
1ddt,1mdt,0.664198,0.95256
1dpe,1dpp,0.627788,0.876298
1n0u,1n0v,0.676405,0.94459
2efg,1fnm,0.662301,0.92925
1erk,2erk,0.512104,0.663137
2nac,2nad,0.61255,0.829846
1d9v,1mrp,0.628945,0.722573
1e88,1e8b,0.650629,0.806588
1jbv,1jbw,0.676256,0.930609
1ggg,1wdn,0.641469,0.761334
1psd,1gdh,0.55689,0.673735
1ex6,1ex7,0.609009,0.798334
1oxu,1oxs,0.672818,0.88903
1fto,1ftm,0.638163,0.772877
1hrd,1k89,0.657016,0.911596
1aon,1oel,0.612096,0.716927
8ohm,1cu1,0.615022,0.730453
1ibo,1ibn,0.805263,0.929618
1eq0,1hka,0.522615,0.594127
1aa7,1ea3,0.588029,0.789431
1ipd,1osj,0.634698,0.750482
1bcc,2bcc,0.514031,0.662757
2lao,1laf,0.672304,0.776008
1lfg,1lfh,0.621875,0.876661
1p7q,1g0x,0.61034,0.889512
1l97,1l96,0.70125,0.924383
1omp,3mbp,0.620992,0.697065
1mml,1qai,0.49804,0.654636
1lua,1lu9,0.626739,0.758086
1ejd,1a2n,0.594989,0.808893
1rkm,2rkm,0.62556,0.876839
1oib,1quk,0.63678,0.772929
1php,13pk,0.556259,0.677452
1cmk,1jlu,0.606595,0.84262
1bpd,2bpg,0.747047,0.97251
1k23,1k20,0.632285,0.864034
1nyl,1gtr,0.597269,0.825789
1urp,2dri,0.711548,0.897241
1jsa,1iku,0.631649,0.877492
1tde,1f6m,0.671268,0.846303
1fgu,1jmc,0.615183,0.93107
1msw,1qln,0.567366,0.834853
1bp5,1a8e,0.640542,0.745201
1ttp,1ttq,0.499663,0.715873
1akz,1ssp,0.615562,0.695626
1k93,1k8t,0.606756,0.882661
1k92,1kp2,0.569093,0.792685
1hoo,1qf5,0.5745,0.849437
1cf4,1grn,0.562129,0.687273
1eft,1etu,0.555919,0.655148
1gdt,2rsl,0.69016,0.920887
1gpw,1thf,0.583631,0.910524
1g7t,1g7s,0.627844,0.816328
1dfk,1b7t,0.732827,0.920063
1i7d,1d6m,0.638485,0.878823
1mcp,1nca,0.521039,0.437212
1idi,1idg,0.601999,0.723242
1gp2,1cip,0.520193,0.638464
7ahl,1lkf,0.495964,0.583547
3hvt,2hmi,0.649468,0.954812
1klq,1duj,0.623081,0.797045
1psi,7api,0.599428,0.742135
5at1,8atc,0.527988,0.736292
1eer,1buy,0.562468,0.595386
1tip,1fbt,0.545123,0.59475
9gpb,1gpb,0.537848,0.706692
2hco,4hhb,0.556738,0.673141
1jmj,1jmo,0.525189,0.757265
2pfk,1pfk,0.525581,0.623975
1dkr,1dku,0.5954,0.859594
1g6o,1nlz,0.599025,0.869986
1ii0,1ihu,0.496638,0.774232
1bhm,1bam,0.547944,0.552347
1q1b,1q12,0.583285,0.762834
1fu1,1ik9,0.61086,0.757123
1iwo,1su4,0.648599,0.739563
1pjr,3pjr,0.651926,0.873449
1lwt,1vde,0.5144,0.72028
1ih7,1ig9,0.572762,0.703913
1bjt,1bgw,0.576591,0.873487
